,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tessy Plastics,"[('energy', 0.0171484566389025), ('costs', 0.015188633023027927), ('customers', 0.01224889759921607)]","[('products', 0.015721504772599662), ('plastics1', 0.01291409320606401), ('201031', 0.01291409320606401)]","[('products', 0.01364522417153996), ('plastics1', 0.011208576998050682), ('201131', 0.011208576998050682)]","[('table', 0.013527945888216448), ('2013', 0.013171947312210752), ('products', 0.010323958704165184)]","[('cdp', 0.03286384976525822), ('2014', 0.03247261345852895), ('equipment', 0.022300469483568074)]","[('cdp', 0.021856786011656953), ('2015', 0.02164862614487927), ('supply', 0.012489592006661115)]","[('2016', 0.01818181818181818), ('equipment', 0.01437632135306554), ('plasticshealthcare', 0.01331923890063425)]","[('climate', 0.01345111423408954), ('s', 0.012648062638024492), ('change', 0.011242722344910661)]","[('states', 0.044651523975927004), ('plasticsunited', 0.0434867016113376), ('americatessy', 0.031061929722384002)]","[('product', 0.01759640584050917), ('states', 0.015911643579183826), ('plasticsunited', 0.014788468738300262)]","[('product', 0.04370658986955785), ('states', 0.04285956293410131), ('plasticsunited', 0.041843130611553446)]"
AptarGroup,"[[('environmental', 0.019178082191780823), ('200831', 0.0182648401826484), ('global', 0.011872146118721462)]]","[[('200931', 0.0199479618386817), ('environmental', 0.013009540329575022), ('2009aptargroup1', 0.013009540329575022)]]","[[('than', 0.01068804275217101), ('but', 0.01068804275217101), ('201131', 0.01068804275217101)]]","[[('table', 0.015934065934065933), ('sustainability', 0.011538461538461539), ('global', 0.00934065934065934)]]","[[('table', 0.014656616415410386), ('sustainability', 0.010469011725293133), ('aptargroupcontainers', 0.009631490787269681)]]","[[('sustainability', 0.017360224661730917), ('2014', 0.013020168496298187), ('table', 0.010467194281337758)]]","[[('sustainability', 0.017942886024766236), ('table', 0.011119535001263583), ('2015', 0.009350518069244376)]]","[[('sustainability', 0.016894087069525665), ('2016', 0.011912497292614252), ('customers', 0.008447043534762833)]]","[[('states', 0.04679700499168053), ('americaaptargroupunited', 0.03036605657237937), ('product', 0.012687188019966721)]]","[[('product', 0.02554438860971524), ('sustainability', 0.019262981574539362), ('states', 0.016959798994974875)]]","[[('product', 0.05030858425285207), ('states', 0.04638114830746213), ('americaplastic', 0.046007106788853565)]]"
Porton,"[[('change', 0.03103448275862069), ('climate', 0.027586206896551724), ('ghg', 0.020689655172413793)]]","[[('ghg', 0.02553191489361702), ('climate', 0.01702127659574468), ('custom', 0.01276595744680851)]]","[[('driven', 0.03225806451612903), ('ghg', 0.03225806451612903), ('changes', 0.026881720430107527)]]","[[('table', 0.02927927927927928), ('2010', 0.02252252252252252), ('ghg', 0.015765765765765764)]]","[[('biotechnology', 0.06074766355140187), ('life', 0.06074766355140187), ('table', 0.04088785046728972)]]","[[('table', 0.04421768707482993), ('sheetsee', 0.023809523809523808), ('201431', 0.012471655328798186)]]","[[('biotechnology', 0.0517578125), ('life', 0.0517578125), ('table', 0.03515625)]]","[[('2016', 0.016251354279523293), ('climate', 0.013001083423618635), ('energy', 0.011917659804983749)]]","[[('pharmabiotech', 0.26973684210526316), ('care', 0.13576555023923445), ('health', 0.13516746411483255)]]","[[('care', 0.08700322234156821), ('health', 0.08592910848549946), ('pharmabiotech', 0.08592910848549946)]]","[[('health', 0.15928066795118817), ('care', 0.15928066795118817), ('pharmabiotech', 0.15928066795118817)]]"
DANFOSS,"[[('energy', 0.01949685534591195), ('200931', 0.012578616352201259), ('management', 0.011320754716981131)]]","[[('energy', 0.02535421327367636), ('products', 0.017897091722595078), ('201031', 0.01715137956748695)]]","[[('energy', 0.02384737678855326), ('201131', 0.018282988871224166), ('products', 0.017488076311605722)]]","[[('energy', 0.024229074889867842), ('table', 0.023494860499265784), ('products', 0.01762114537444934)]]","[[('table', 0.03389830508474576), ('energy', 0.023928215353938187), ('sheetsee', 0.015952143569292122)]]","[[('table', 0.02773246329526917), ('energy', 0.018760195758564437), ('climate', 0.015497553017944535)]]","[[('energy', 0.02666666666666667), ('risk', 0.018536585365853658), ('table', 0.013008130081300813)]]","[[('energy', 0.031640058055152395), ('risk', 0.018287373004354138), ('management', 0.011030478955007257)]]","[[('energy', 0.027689873417721517), ('risk', 0.02333860759493671), ('management', 0.0122626582278481)]]","[[('electronic', 0.03384872544922691), ('energy', 0.02632678646050982), ('risk', 0.024655244463017135)]]","[[('electronic', 0.08415005069280163), ('applicabledanfosselectrical', 0.06759040216289287), ('equipmentquestion', 0.05610003379520108)]]"
ABM INDUSTRIES INC,"[[('energy', 0.018973695558430356), ('services', 0.015955153083225527), ('customers', 0.01121172919361794)]]","[[('services', 0.015931372549019607), ('inc1', 0.014093137254901961), ('201030', 0.014093137254901961)]]","[[('inc1', 0.015161502966381015), ('201130', 0.015161502966381015), ('services', 0.011865524060646011)]]","[[('table', 0.01867219917012448), ('energy', 0.01313969571230982), ('services', 0.01037344398340249)]]","[[('services', 0.04010184595798854), ('companies', 0.03373647358370465), ('commercial', 0.033099936346276254)]]","[[('services', 0.039190071848465055), ('companies', 0.034617896799477466), ('commercial', 0.033964728935336384)]]","[[('companies', 0.03894297635605007), ('services', 0.03894297635605007), ('commercial', 0.03824756606397774)]]","[[('incabm', 0.016849199663016005), ('changes', 0.012636899747262006), ('service', 0.010109519797809604)]]","[[('states', 0.12881732370905052), ('incunited', 0.1254858411993337), ('americaabm', 0.09383675735702388)]]","[[('states', 0.04292057227429699), ('consumer', 0.03946719289590528), ('incunited', 0.038973852984706465)]]","[[('states', 0.06512820512820512), ('consumer', 0.06358974358974359), ('incunited', 0.06333333333333334)]]"
Bloomberg,"[[('200931', 0.011305822498586773), ('climate', 0.010175240248728096), ('energy', 0.009044657998869417)]]","[[('s', 0.011461318051575931), ('sustainability', 0.010233319688907082), ('verification', 0.009823986901350798)]]","[[('s', 0.0113262696382901), ('sustainability', 0.009864815491413957), ('verification', 0.009499451954694921)]]","[[('sustainability', 0.014906027219701879), ('table', 0.012313674659753726), ('reduction', 0.009721322099805573)]]","[[('sustainability', 0.015274034141958671), ('table', 0.01287810721772986), ('emissions', 0.011979634621144056)]]","[[('sustainability', 0.016056338028169016), ('emissions', 0.012394366197183098), ('table', 0.012112676056338029)]]","[[('sustainability', 0.012692656391659111), ('emissions', 0.010652765185856755), ('table', 0.01042611060743427)]]","[[('sustainability', 0.01206248764089381), ('energy', 0.010480522048645443), ('climate', 0.010282776349614395)]]","[[('information', 0.08051773407295344), ('professional', 0.03899815094973945), ('states', 0.038830055471507814)]]","[[('professional', 0.03306633805709591), ('states', 0.017046621482850688), ('servicesspecialized', 0.01622509755596632)]]","[[('professional', 0.0824212271973466), ('states', 0.041791044776119404), ('servicesspecialized', 0.040961857379767826)]]"
DOMINGUES PAES EMPRESA DE SEGURANCA,"[[('company', 0.044642857142857144), ('risk', 0.03571428571428571), ('but', 0.03571428571428571)]]","[[('emissions', 0.047619047619047616), ('services', 0.031746031746031744), ('organization', 0.031746031746031744)]]","[[('seguranca31', 0.12169312169312169), ('201131', 0.12169312169312169), ('2012domingues', 0.10582010582010581)]]","[[('table', 0.1206896551724138), ('sheetsee', 0.06321839080459771), ('sheetdomingues', 0.04597701149425287)]]","[[('table', 0.10267857142857142), ('sheetdomingues', 0.049107142857142856), ('sheetsee', 0.044642857142857144)]]","[[('services', 0.09905660377358491), ('segurancatrading', 0.09669811320754718), ('companies', 0.09669811320754718)]]","[[('table', 0.05581395348837209), ('do', 0.027906976744186046), ('t', 0.027906976744186046)]]","[[('emissions', 0.02962962962962963), ('do', 0.022222222222222223), ('driven', 0.022222222222222223)]]","[[('não', 0.035106382978723406), ('e', 0.03404255319148936), ('que', 0.018085106382978722)]]","[[('consumer', 0.08465608465608465), ('segurancacommercial', 0.08253968253968254), ('applicabledomingues', 0.06666666666666667)]]","[[('consumer', 0.14195764167143674), ('segurancacommercial', 0.14081282198053807), ('applicabledomingues', 0.1316542644533486)]]"
